profil_id,messsystem,anteil,Nis_um,Nic_um,Ra_um,Rq_um,Rp_um,Rv_um,Rz_um,Rsk,Rku,Wa_um,Wq_um,Wp_um,Wv_um,Wz_um,Wsk,Wku
WSP00_L13_S1,Perthometer,R,2.5,800.0,0.15238562238443057,0.18035902458019695,0.46820303163686344,0.34575676325005905,0.8139597948869225,0.8387168806559722,2.398113988958927,,,,,,,
WSP00_L13_S1,Perthometer,W,2.5,800.0,,,,,,,,0.1586626338280918,0.1911558764380955,0.4832878772334175,0.48817796806744984,0.9714658453008673,-0.20895797228165466,2.590796073428838
WSP00_L13_S1,NanoFocus,R,2.5,800.0,0.22793275531764712,0.28650920516850764,1.0865119728966488,0.9736918297532943,2.060203802649943,0.16394275597146168,2.8544954398055644,,,,,,,
WSP00_L13_S1,NanoFocus,W,2.5,800.0,,,,,,,,0.1494380739243525,0.18374582463498687,0.3899651100339954,0.5056906846187195,0.8956557946527148,-0.22121301538339744,2.7970372336302614
WSP00_L13_S2,Perthometer,R,2.5,800.0,0.13281202800778946,0.1617829622236131,0.502188644764524,0.3162086381337463,0.8183972828982702,0.9115634182924512,2.7823007186235214,,,,,,,
WSP00_L13_S2,Perthometer,W,2.5,800.0,,,,,,,,0.20687778699538956,0.25258261191220643,0.5663708315394599,0.5971839232485081,1.163554754787968,-0.11425672488528117,2.4824202584288275
WSP00_L13_S2,NanoFocus,R,2.5,800.0,0.20956054683687522,0.27414477179497726,0.9767521805656655,1.1827242750737523,2.159476455639418,-0.15511949583255374,4.25918074692578,,,,,,,
WSP00_L13_S2,NanoFocus,W,2.5,800.0,,,,,,,,0.14030833827598038,0.18052559487125047,0.48564526622961623,0.44934357718966556,0.9349888434192818,0.1277029450416679,3.0467704996743543
WSP00_L14_S1,Perthometer,R,2.5,800.0,0.15177816196618701,0.18675360813693273,0.5763412810001611,0.3697565563281987,0.9460978373283598,0.5216743645590292,2.495510047557117,,,,,,,
WSP00_L14_S1,Perthometer,W,2.5,800.0,,,,,,,,0.21408591519897519,0.26102077469543666,0.6567868796025341,0.48927072139012673,1.1460576009926609,0.29300726606326355,2.500358648469381
WSP00_L14_S1,NanoFocus,R,2.5,800.0,0.23192909872384343,0.29445376623606767,1.1763708818708214,1.1229666591554694,2.299337541026291,0.1935449435327101,3.417789081472246,,,,,,,
WSP00_L14_S1,NanoFocus,W,2.5,800.0,,,,,,,,0.17135498654921066,0.22247040754005862,0.9002455644680392,0.4762113952663096,1.3764569597343488,0.5597956946418977,3.973938469232161
WSP00_L14_S2,Perthometer,R,2.5,800.0,0.16489586443588686,0.1971584952915846,0.5478951677259258,0.4025033344845485,0.9503985022104744,0.3951574294935996,2.28270819059163,,,,,,,
WSP00_L14_S2,Perthometer,W,2.5,800.0,,,,,,,,0.1675512629171544,0.2203296811929015,0.5468428946027748,0.5195821158052898,1.0664250104080646,-0.15334540347996709,2.9299928296712845
WSP00_L14_S2,NanoFocus,R,2.5,800.0,0.2585292621259082,0.30880717554488385,1.1278842049184743,0.6370395837252031,1.7649237886436775,0.3881353522778062,2.393358475534048,,,,,,,
