profil_id,wsp,luecke,seite,flanke,anteil,Nis_um,Nic_um,Ra_um_Perthometer,Ra_um_NanoFocus,Ra_um_diff_abs,Ra_um_diff_rel,Ra_um_factor,Rq_um_Perthometer,Rq_um_NanoFocus,Rq_um_diff_abs,Rq_um_diff_rel,Rq_um_factor,Rp_um_Perthometer,Rp_um_NanoFocus,Rp_um_diff_abs,Rp_um_diff_rel,Rp_um_factor,Rv_um_Perthometer,Rv_um_NanoFocus,Rv_um_diff_abs,Rv_um_diff_rel,Rv_um_factor,Rz_um_Perthometer,Rz_um_NanoFocus,Rz_um_diff_abs,Rz_um_diff_rel,Rz_um_factor,Rsk_Perthometer,Rsk_NanoFocus,Rsk_diff_abs,Rsk_diff_rel,Rsk_factor,Rku_Perthometer,Rku_NanoFocus,Rku_diff_abs,Rku_diff_rel,Rku_factor,Wa_um_Perthometer,Wa_um_NanoFocus,Wa_um_diff_abs,Wa_um_diff_rel,Wa_um_factor,Wq_um_Perthometer,Wq_um_NanoFocus,Wq_um_diff_abs,Wq_um_diff_rel,Wq_um_factor,Wp_um_Perthometer,Wp_um_NanoFocus,Wp_um_diff_abs,Wp_um_diff_rel,Wp_um_factor,Wv_um_Perthometer,Wv_um_NanoFocus,Wv_um_diff_abs,Wv_um_diff_rel,Wv_um_factor,Wz_um_Perthometer,Wz_um_NanoFocus,Wz_um_diff_abs,Wz_um_diff_rel,Wz_um_factor,Wsk_Perthometer,Wsk_NanoFocus,Wsk_diff_abs,Wsk_diff_rel,Wsk_factor,Wku_Perthometer,Wku_NanoFocus,Wku_diff_abs,Wku_diff_rel,Wku_factor
WSP00_L13_S1,WSP 00,13,S1,Rechte Flanke,R,2.5,800.0,0.15238562238443057,0.22793275531764712,0.07554713293321655,0.49576286628032495,1.495762866280325,0.18035902458019695,0.28650920516850764,0.10615018058831069,0.5885493162063029,1.588549316206303,0.46820303163686344,1.0865119728966488,0.6183089412597853,1.3206000377617022,2.3206000377617024,0.34575676325005905,0.9736918297532943,0.6279350665032353,1.816117957030673,2.8161179570306727,0.8139597948869225,2.060203802649943,1.2462440077630204,1.5310879180907848,2.531087918090785,0.8387168806559722,0.16394275597146168,-0.6747741246845105,-0.8045314697335771,0.19546853026642289,2.398113988958927,2.8544954398055644,0.4563814508466373,0.19030848948292164,1.1903084894829217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSP00_L13_S1,WSP 00,13,S1,Rechte Flanke,W,2.5,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1586626338280918,0.1494380739243525,-0.009224559903739299,-0.05813946032015294,0.9418605396798471,0.1911558764380955,0.18374582463498687,-0.007410051803108636,-0.03876444680217994,0.9612355531978201,0.4832878772334175,0.3899651100339954,-0.09332276719942206,-0.1930997477810709,0.8069002522189291,0.48817796806744984,0.5056906846187195,0.017512716551269625,0.03587363153768946,1.0358736315376895,0.9714658453008673,0.8956557946527148,-0.0758100506481525,-0.07803676373683913,0.9219632362631609,-0.20895797228165466,-0.22121301538339744,-0.012255043101742774,0.05864836343848221,1.0586483634384822,2.590796073428838,2.7970372336302614,0.20624116020142313,0.07960532375227408,1.079605323752274
WSP00_L13_S2,WSP 00,13,S2,Linke Flanke,R,2.5,800.0,0.13281202800778946,0.20956054683687522,0.07674851882908576,0.5778732542551375,1.5778732542551375,0.1617829622236131,0.27414477179497726,0.11236180957136416,0.6945218954271585,1.6945218954271586,0.502188644764524,0.9767521805656655,0.4745635358011415,0.9449905742565409,1.944990574256541,0.3162086381337463,1.1827242750737523,0.866515636940006,2.7403287970061627,3.740328797006163,0.8183972828982702,2.159476455639418,1.3410791727411477,1.6386652311354861,2.6386652311354863,0.9115634182924512,-0.15511949583255374,-1.066682914125005,-1.1701686275685843,-0.17016862756858428,2.7823007186235214,4.25918074692578,1.4768800283022583,0.5308125100988043,1.5308125100988044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSP00_L13_S2,WSP 00,13,S2,Linke Flanke,W,2.5,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20687778699538956,0.14030833827598038,-0.06656944871940917,-0.321781519834668,0.6782184801653319,0.25258261191220643,0.18052559487125047,-0.07205701704095596,-0.28528098785359696,0.714719012146403,0.5663708315394599,0.48564526622961623,-0.08072556530984365,-0.14253129012739313,0.8574687098726069,0.5971839232485081,0.44934357718966556,-0.14784034605884255,-0.24756250177438427,0.7524374982256157,1.163554754787968,0.9349888434192818,-0.22856591136868631,-0.1964376067633683,0.8035623932366317,-0.11425672488528117,0.1277029450416679,0.24195966992694906,-2.1176842778391145,-1.1176842778391147,2.4824202584288275,3.0467704996743543,0.5643502412455268,0.22733871886894572,1.2273387188689457
WSP00_L14_S1,WSP 00,14,S1,Rechte Flanke,R,2.5,800.0,0.15177816196618701,0.23192909872384343,0.08015093675765642,0.5280795057691656,1.5280795057691656,0.18675360813693273,0.29445376623606767,0.10770015809913494,0.5766965317219805,1.5766965317219805,0.5763412810001611,1.1763708818708214,0.6000296008706603,1.0411012027967028,2.041101202796703,0.3697565563281987,1.1229666591554694,0.7532101028272707,2.0370432651874757,3.0370432651874757,0.9460978373283598,2.299337541026291,1.353239703697931,1.4303380161181631,2.430338016118163,0.5216743645590292,0.1935449435327101,-0.32812942102631903,-0.6289928034008083,0.3710071965991916,2.495510047557117,3.417789081472246,0.922279033915129,0.36957536388922113,1.3695753638892212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSP00_L14_S1,WSP 00,14,S1,Rechte Flanke,W,2.5,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21408591519897519,0.17135498654921066,-0.04273092864976452,-0.199597103854542,0.800402896145458,0.26102077469543666,0.22247040754005862,-0.038550367155378046,-0.1476908004750168,0.8523091995249832,0.6567868796025341,0.9002455644680392,0.24345868486550504,0.3706814073582564,1.3706814073582563,0.48927072139012673,0.4762113952663096,-0.013059326123817105,-0.026691411427016646,0.9733085885729833,1.1460576009926609,1.3764569597343488,0.23039935874168793,0.20103645623232805,1.2010364562323281,0.29300726606326355,0.5597956946418977,0.26678842857863416,0.9105181320692285,1.9105181320692284,2.500358648469381,3.973938469232161,1.47357982076278,0.5893473808906758,1.589347380890676
WSP00_L14_S2,WSP 00,14,S2,Linke Flanke,R,2.5,800.0,0.16489586443588686,0.2585292621259082,0.09363339769002135,0.5678335112305193,1.5678335112305193,0.1971584952915846,0.30880717554488385,0.11164868025329924,0.5662889650693372,1.5662889650693372,0.5478951677259258,1.1278842049184743,0.5799890371925485,1.0585766609328393,2.058576660932839,0.4025033344845485,0.6370395837252031,0.23453624924065458,0.5826939285882067,1.5826939285882067,0.9503985022104744,1.7649237886436775,0.8145252864332031,0.8570355325042579,1.857035532504258,0.3951574294935996,0.3881353522778062,-0.007022077215793399,-0.017770328207652075,0.9822296717923479,2.28270819059163,2.393358475534048,0.1106502849424178,0.04847325006256694,1.0484732500625669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSP00_L14_S2,WSP 00,14,S2,Linke Flanke,W,2.5,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1675512629171544,0.15563112287263758,-0.011920140044516803,-0.0711432419963955,0.9288567580036045,0.2203296811929015,0.1907598998133474,-0.0295697813795541,-0.13420698119045238,0.8657930188095476,0.5468428946027748,0.4570801932819671,-0.08976270132080771,-0.1641471475751936,0.8358528524248064,0.5195821158052898,0.5058736923376409,-0.01370842346764889,-0.02638355526614399,0.973616444733856,1.0664250104080646,0.962953885619608,-0.10347112478845655,-0.0970261610320482,0.9029738389679518,-0.15334540347996709,-0.1468271263622473,0.006518277117719795,-0.042507156848502065,0.957492843151498,2.9299928296712845,2.706964263674962,-0.22302856599632248,-0.07611915078350005,0.9238808492164999
WSP00_L1_S1,WSP 00,1,S1,Rechte Flanke,R,2.5,800.0,0.1825790327276087,0.24497583340444096,0.06239680067683226,0.341752279791747,1.341752279791747,0.22259439265842934,0.3003637566247644,0.07776936396633505,0.3493770127699128,1.3493770127699127,0.7154354923858766,1.2338230026425638,0.5183875102566873,0.7245761718194019,1.724576171819402,0.48641973403078514,0.8134253053937262,0.327005571362941,0.6722703634023308,1.6722703634023308,1.2018552264166618,2.04724830803629,0.8453930816196282,0.7034067523591611,1.703406752359161,0.232320468752432,0.303045571020761,0.07072510226832901,0.3044290614947747,1.3044290614947747,2.4946970280830096,2.7964084886059095,0.3017114605228999,0.12094112316105289,1.1209411231610529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSP00_L1_S1,WSP 00,1,S1,Rechte Flanke,W,2.5,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274088068761414,0.20822788251649574,-0.06586018624491827,-0.2402884100082726,0.7597115899917274,0.36701294179846466,0.25194706186609706,-0.11506587993236761,-0.3135199520989997,0.6864800479010003,1.6903023132896378,0.5592510697545593,-1.1310512435350786,-0.6691413924257406,0.3308586075742595,1.015060387058377,0.5929568479446793,-0.4221035391136977,-0.41584081547792895,0.584159184522071,2.7053627003480147,1.1522079176992386,-1.5531547826487762,-0.5741022386569388,0.4258977613430613,0.3304319264435086,-0.3606876488276815,-0.6911195752711901,-2.0915641618224363,-1.0915641618224365,5.477012507858489,2.463510606479044,-3.0135019013794446,-0.5502090596024078,0.44979094039759215
