profil_id,messsystem,signal,lambda_c_um,source_file,flank,pos_mm,Wa_um,Wq_um,Wp_um,Wv_um,Wz_um,Wsk,Wku
WSP00_L13_S1_1,Perthometer,z,800.0,WSP00_L13_S1_1,S1,,0.18466021468055221,0.22556521582570585,0.5111318876000216,0.5209793413249884,1.03211122892501,-0.0818888269328414,2.3957979507002074
WSP00_L13_S1_2,Perthometer,z,800.0,WSP00_L13_S1_2,S1,,0.1890213369189733,0.2294391537663046,0.5137041716568505,0.5048756533457908,1.0185798250026412,-0.12256073093668327,2.320352206845924
WSP00_L13_S1_3,Perthometer,z,800.0,WSP00_L13_S1_3,S1,,0.18573493604472552,0.22465843312509,0.4892132548263352,0.5125161963348968,1.001729451161232,-0.11572600522074007,2.3499914972989506
WSP00_L13_S2_1,Perthometer,z,800.0,WSP00_L13_S2_1,S2,,0.19679053468021795,0.2430938349943182,0.6138671067161864,0.6478939807018277,1.261761087418014,0.0024120317238617694,2.751008419402389
WSP00_L13_S2_2,Perthometer,z,800.0,WSP00_L13_S2_2,S2,,0.19547935607427006,0.24007282818135867,0.5782499636218524,0.6082621995274112,1.1865121631492637,-0.033783619673983745,2.5900490847031863
WSP00_L13_S2_3,Perthometer,z,800.0,WSP00_L13_S2_3,S2,,0.20132622244324627,0.24801791032631917,0.6131198605177487,0.5865292489192907,1.1996491094370394,-0.18741432102891686,2.613659883567986
WSP00_L14_S1_1,Perthometer,z,800.0,WSP00_L14_S1_1,S1,,0.21973810545667982,0.2648388540305049,0.5788328591605715,0.5690885593768175,1.147921418537389,0.11193618025916607,2.213458827141891
WSP00_L14_S1_2,Perthometer,z,800.0,WSP00_L14_S1_2,S1,,0.2237625761121687,0.26865700648266466,0.5738162491925926,0.5657219833848276,1.1395382325774202,0.12356511588229402,2.1723321717804263
WSP00_L14_S1_3,Perthometer,z,800.0,WSP00_L14_S1_3,S1,,0.21664122178501238,0.26143423259383436,0.5533892673411018,0.564984002953554,1.1183732702946558,0.11644612470493695,2.1993422494434514
WSP00_L14_S2_1,Perthometer,z,800.0,WSP00_L14_S2_1,S2,,0.19899625380914268,0.24411314588223484,0.5066373052875796,0.6353558482966577,1.1419931535842371,-0.35005815054839134,2.627671506904512
WSP00_L14_S2_2,Perthometer,z,800.0,WSP00_L14_S2_2,S2,,0.17867867793858835,0.2254133595627147,0.48608584570310254,0.5757759366578337,1.0618617823609362,-0.3425953765518144,2.7840607222855676
WSP00_L14_S2_3,Perthometer,z,800.0,WSP00_L14_S2_3,S2,,0.19853855862971492,0.2467262218807025,0.5315007776736695,0.6393890055616858,1.1708897832353553,-0.3360012435834199,2.7322679585271095
WSP00_L1_S1_1,Perthometer,z,800.0,WSP00_L1_S1_1,S1,,0.6756526607118744,0.782194439375774,1.6371254949254153,1.6458093782243046,3.2829348731497197,-0.14204991018748492,1.8848306086166207
WSP00_L1_S1_2,Perthometer,z,800.0,WSP00_L1_S1_2,S1,,0.6748580753263972,0.7866670992558586,1.29245345973499,1.7587444910946952,3.0511979508296854,-0.2145440142393768,1.9467069903287053
WSP00_L1_S1_3,Perthometer,z,800.0,WSP00_L1_S1_3,S1,,0.7056149662291841,0.8174389591956732,1.3026315058705376,1.8032974236116526,3.1059289294821903,-0.24389995037278187,1.9046315654522046
WSP00_L1_S2_1,Perthometer,z,800.0,WSP00_L1_S2_1,S2,,0.18964155212713213,0.23653286792725164,0.4972016158152986,0.6615032919618893,1.1587049077771878,-0.4465506110050629,2.916362555911332
WSP00_L1_S2_2,Perthometer,z,800.0,WSP00_L1_S2_2,S2,,0.2214094907351132,0.273704032754695,0.6950701460241694,0.623975199169277,1.3190453451934463,-0.10945226767187233,2.531659653872328
WSP00_L1_S2_3,Perthometer,z,800.0,WSP00_L1_S2_3,S2,,0.21665028017725893,0.26693440813561553,0.7595240234599545,0.612005611115095,1.3715296345750496,-0.0828864762152376,2.613658963948804
WSP00_L44_S1_1,Perthometer,z,800.0,WSP00_L44_S1_1,S1,,0.14366073403869875,0.17806933624269017,0.36336593066194695,0.5763050725205213,0.9396710031824682,-0.4610154054006962,3.0715934705409365
WSP00_L44_S1_2,Perthometer,z,800.0,WSP00_L44_S1_2,S1,,0.1520623126107878,0.18873351979791333,0.3733643453184458,0.6124190779352998,0.9857834232537457,-0.5871409341314158,3.119047420803073
WSP00_L44_S1_3,Perthometer,z,800.0,WSP00_L44_S1_3,S1,,0.1462720118236163,0.1840748641845416,0.37753926175352287,0.5821480841196748,0.9596873458731976,-0.5912020151041615,3.1290241376797656
WSP00_L44_S2_1,Perthometer,z,800.0,WSP00_L44_S2_1,S2,,0.20609474069714795,0.24696769363502508,0.5475000704164493,0.5690164163577347,1.116516486774184,-0.1450501171266463,2.334403742675966
WSP00_L44_S2_2,Perthometer,z,800.0,WSP00_L44_S2_2,S2,,0.20814498885469473,0.24851996963656367,0.5297757448409454,0.5614104267892834,1.0911861716302287,-0.09729806912143443,2.297038095967042
WSP00_L44_S2_3,Perthometer,z,800.0,WSP00_L44_S2_3,S2,,0.20154962590192166,0.24250552762664113,0.5144636113852457,0.5809562160142301,1.0954198273994757,-0.14397948356494983,2.3748078088014637
WSP00_S2_WSP00_L1_lead_pos136p57_left_id34_S2,KMG,dev,800.0,WSP00_L1_lead_pos136p57_left_id34_S2.csv,S2,136.57,0.3355768877751875,0.4344115539692842,2.0615907233517357,0.994662650328525,3.056253373680261,0.7246146176617392,5.0603675000200745
WSP00_S2_WSP00_L1_lead_pos136p57_left_id34_S2,KMG,z,800.0,WSP00_L1_lead_pos136p57_left_id34_S2.csv,S2,136.57,0.15121710730451615,0.18424737893284648,0.509143074516446,0.47182438088645534,0.9809674554029013,-0.0022106626728281295,2.464608161490322
WSP00_S1_WSP00_L1_lead_pos136p57_right_id24_S1,KMG,dev,800.0,WSP00_L1_lead_pos136p57_right_id24_S1.csv,S1,136.57,0.40029653126467074,0.599891508341186,3.5717139761284633,1.0478347150718734,4.619548691200337,2.3863835168017555,13.425773179919876
WSP00_S1_WSP00_L1_lead_pos136p57_right_id24_S1,KMG,z,800.0,WSP00_L1_lead_pos136p57_right_id24_S1.csv,S1,136.57,0.17128830475521364,0.25116831368394205,1.1473474932309082,0.7313681173292795,1.8787156105601879,0.5023914660227217,7.2636181680355305
WSP00_S2_WSP00_L1_lead_pos137p04_left_id35_S2,KMG,dev,800.0,WSP00_L1_lead_pos137p04_left_id35_S2.csv,S2,137.04,0.23031814327184347,0.2830960343916115,0.7032680974387538,0.6478945837124894,1.3511626811512434,0.12421315642657355,2.4632110646465035
WSP00_S2_WSP00_L1_lead_pos137p04_left_id35_S2,KMG,z,800.0,WSP00_L1_lead_pos137p04_left_id35_S2.csv,S2,137.04,0.08509686527258699,0.10646395944187531,0.37515708751357096,0.2771154661378811,0.652272553651452,0.21293852576088024,3.098317896284693
WSP00_S1_WSP00_L1_lead_pos137p04_right_id25_S1,KMG,dev,800.0,WSP00_L1_lead_pos137p04_right_id25_S1.csv,S1,137.04,0.2879624811646859,0.36651432562404934,1.400838889257655,1.0384730019040935,2.439311891161749,0.29118128586546943,3.559043930873129
WSP00_S1_WSP00_L1_lead_pos137p04_right_id25_S1,KMG,z,800.0,WSP00_L1_lead_pos137p04_right_id25_S1.csv,S1,137.04,0.14441808585097793,0.19144266167724186,0.567067060709016,0.5052358779506947,1.0723029386597107,0.289209579914088,3.5132555622838013
WSP00_S2_WSP00_L1_lead_pos137p50_left_id36_S2,KMG,dev,800.0,WSP00_L1_lead_pos137p50_left_id36_S2.csv,S2,137.5,0.24966507182699485,0.30766886506016755,0.890542682832438,0.9773305701834517,1.8678732530158897,0.19639709935137728,2.7568247253882356
WSP00_S2_WSP00_L1_lead_pos137p50_left_id36_S2,KMG,z,800.0,WSP00_L1_lead_pos137p50_left_id36_S2.csv,S2,137.5,0.10929511948236205,0.1357659052402161,0.439255243410964,0.4363645442440928,0.8756197876550569,0.3307435165670508,3.0782286503083145
WSP00_S1_WSP00_L1_lead_pos137p50_right_id26_S1,KMG,dev,800.0,WSP00_L1_lead_pos137p50_right_id26_S1.csv,S1,137.5,0.30222929509562807,0.40127931071283823,1.4013461423509899,0.947836181809797,2.349182324160787,0.78934670828801,4.45281233783219
WSP00_S1_WSP00_L1_lead_pos137p50_right_id26_S1,KMG,z,800.0,WSP00_L1_lead_pos137p50_right_id26_S1.csv,S1,137.5,0.1133501499110564,0.14285494802142784,0.440315240394796,0.3779277017049955,0.8182429420997915,-0.04211756138639195,3.095972020805908
WSP00_S2_WSP00_L1_lead_pos137p96_left_id37_S2,KMG,dev,800.0,WSP00_L1_lead_pos137p96_left_id37_S2.csv,S2,137.96,0.28672443436384276,0.35594564013164903,1.0510908412792102,0.8676931868542982,1.9187840281335085,0.11612400661739666,2.8322366505582806
WSP00_S2_WSP00_L1_lead_pos137p96_left_id37_S2,KMG,z,800.0,WSP00_L1_lead_pos137p96_left_id37_S2.csv,S2,137.96,0.08601326440629475,0.10947266180205732,0.31315333543848173,0.3941965753954632,0.7073499108339449,-0.38010868594111547,3.720451244220678
WSP00_S1_WSP00_L1_lead_pos137p96_right_id27_S1,KMG,dev,800.0,WSP00_L1_lead_pos137p96_right_id27_S1.csv,S1,137.96,0.3732545803992763,0.46522406493044954,1.5332110551637728,1.0064155695087242,2.539626624672497,0.45217617812231564,3.187384586578981
WSP00_S1_WSP00_L1_lead_pos137p96_right_id27_S1,KMG,z,800.0,WSP00_L1_lead_pos137p96_right_id27_S1.csv,S1,137.96,0.09546989824944577,0.12234018141426914,0.3295797073006118,0.3124126077519332,0.6419923150525451,0.09231272218286035,3.0361540339935003
WSP00_S2_WSP00_L1_lead_pos138p42_left_id38_S2,KMG,dev,800.0,WSP00_L1_lead_pos138p42_left_id38_S2.csv,S2,138.42,0.30789751357320433,0.37691364999577226,0.9267885154819197,0.7690619463301688,1.6958504618120884,0.5300049887035041,2.491342505100535
WSP00_S2_WSP00_L1_lead_pos138p42_left_id38_S2,KMG,z,800.0,WSP00_L1_lead_pos138p42_left_id38_S2.csv,S2,138.42,0.08115183223989365,0.11074397894281689,0.3808982607039315,0.5628098339708869,0.9437080946748184,-0.1391920418883573,5.957953859542747
WSP00_S1_WSP00_L1_lead_pos138p42_right_id28_S1,KMG,dev,800.0,WSP00_L1_lead_pos138p42_right_id28_S1.csv,S1,138.42,0.382516075603115,0.47282390986947936,1.235510225228079,1.039513275523081,2.2750235007511597,0.35468683861853184,2.499881626631942
WSP00_S1_WSP00_L1_lead_pos138p42_right_id28_S1,KMG,z,800.0,WSP00_L1_lead_pos138p42_right_id28_S1.csv,S1,138.42,0.14851889784701636,0.19570755958578623,0.6755035896300133,0.5198202644325357,1.195323854062549,0.4716433303408224,4.049790679982436
WSP00_S2_WSP00_L1_lead_pos138p89_left_id39_S2,KMG,dev,800.0,WSP00_L1_lead_pos138p89_left_id39_S2.csv,S2,138.89,0.444036225697616,0.5241819259757828,1.398236222791638,0.9205516970201337,2.318787919811772,0.45901865563559086,2.372555653838002
WSP00_S2_WSP00_L1_lead_pos138p89_left_id39_S2,KMG,z,800.0,WSP00_L1_lead_pos138p89_left_id39_S2.csv,S2,138.89,0.13975062194512813,0.19800734601300032,0.6232219639354603,0.8660080338763992,1.4892299978118595,-0.3911620539983831,6.401189954056075
WSP00_S1_WSP00_L1_lead_pos138p89_right_id29_S1,KMG,dev,800.0,WSP00_L1_lead_pos138p89_right_id29_S1.csv,S1,138.89,0.5353142787497777,0.6192865605083223,1.344324166475227,1.0745943117572583,2.4189184782324853,0.42293555023950147,1.9843872467523165
WSP00_S1_WSP00_L1_lead_pos138p89_right_id29_S1,KMG,z,800.0,WSP00_L1_lead_pos138p89_right_id29_S1.csv,S1,138.89,0.08705610564076492,0.1088013128130106,0.35094916801771525,0.27662960036701867,0.6275787683847339,0.3439734616247201,3.0255032557676635
WSP00_S2_WSP00_L1_lead_pos139p35_left_id40_S2,KMG,dev,800.0,WSP00_L1_lead_pos139p35_left_id40_S2.csv,S2,139.35,0.40559721610241845,0.4585160650803158,0.9007954038304457,0.9413677879329027,1.8421631917633483,-0.026271696511882617,1.7582399283217687
WSP00_S2_WSP00_L1_lead_pos139p35_left_id40_S2,KMG,z,800.0,WSP00_L1_lead_pos139p35_left_id40_S2.csv,S2,139.35,0.09412228998964851,0.11690394754973801,0.3052301470803138,0.32211611839467613,0.62734626547499,-0.22122740195531468,2.880975770242466
WSP00_S1_WSP00_L1_lead_pos139p35_right_id30_S1,KMG,dev,800.0,WSP00_L1_lead_pos139p35_right_id30_S1.csv,S1,139.35,0.5292088502184095,0.5701563186205907,0.9320959280626828,0.8871757158087283,1.8192716438714112,0.0935739199088921,1.4366632710389784
