messsystem;filtercase;datei;Sa;Sq;Sp;Sv;Sz;Ssk;Sku;Sdr;Sdq;Sal;Str;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vmp;Vmc;Vvv;Vvc
Keyence;gesamt;WSP00_L1_S1.sdf;0.8280796851535862;1.0511071186185925;3.1034200478393084;3.7574024907520984;6.860822538591407;-0.2187899325185137;3.2629493540144274;1.132690691631555;0.1350242089207041;36.205116048419306;0.28419179807730865;2.6571323743656823;0.9334796361318304;1.2091969926203676;9.103687991173457;89.38942378151378;1.9648961947450625;0.04759293460347427;0.9299602398050295;0.13174625531462753;1.220427405891579
Keyence;gesamt;WSP00_L1_S2.sdf;0.9884802826713326;1.35670589713961;4.536003917981437;9.50735917604415;14.043363094025587;-1.2674123789200433;10.127736257307884;1.1668078228643575;0.1383333853090787;115.40269322329071;0.4715316586020208;3.0230322963565226;1.216954178812053;1.9816117005711313;9.123483562755391;89.01379281158287;2.2840814136274883;0.06127382770266434;1.0652784197296277;0.18536345359710296;1.3913271030939038
Keyence;gesamt;WSP00_L13_S1.sdf;0.9669152689066961;1.2151290032740778;3.732853341796671;3.921532405215019;7.654385747011689;-0.03971082706667138;3.005793796052734;1.1211280882276409;0.13416452626876094;69.60616007933307;0.0959686725438742;3.1583944408173306;1.1353424374346792;1.197660388880475;9.429363994239587;90.22357563776634;2.370777841498014;0.05746369513897991;1.094112315018977;0.13932244485433207;1.4649785295937867
Keyence;gesamt;WSP00_L13_S2.sdf;0.9332267375673098;1.1892919197071024;4.528047485109704;3.629480544828368;8.157528029938073;0.18201394430411136;3.418102478213439;1.1575621326376018;0.13696122645600609;70.35010116846446;0.36447058651845476;2.9930124257465995;1.3526606475398875;1.121116342900914;10.106118358333651;90.47197853068603;2.4394936649709114;0.0676134186843621;1.0386318476380794;0.1302449807758177;1.4235549225916342
Keyence;gesamt;WSP00_L14_S1.sdf;1.2307487622033375;1.889458171928301;12.205667348434993;12.974281392418751;25.179948740853746;-0.16449570174657574;13.879116226227065;1.7104730397077494;0.17915079336027917;53.11900032139451;0.5063024333140299;3.4066966329584543;2.668266586256165;3.010529858365029;9.753566278777726;88.71756627923814;2.905385237969817;0.1321062396501507;1.2046980480956384;0.25702688692838915;1.6086576708258151
Keyence;gesamt;WSP00_L14_S2.sdf;1.019590688264339;1.3347544837095997;5.809227910094998;4.31887495779688;10.12810286789188;0.2853830212521858;4.240399914700124;1.0878356718495352;0.13165289339906838;106.52995092759575;0.17410318304558675;3.1432425928136865;1.7393211100544268;1.389862835358511;10.479616718998445;89.71836976723228;2.78087028556021;0.08720223908482737;1.1052053351068019;0.15280944168491764;1.5233413179753312
Keyence;gesamt;WSP00_L44_S1.sdf;1.6231646830091082;2.3000385163691455;9.272095580589957;13.6337429694028;22.905838549992758;-1.2243768485783513;8.761264311523526;2.01873925286824;0.19397312592433955;154.44273326971026;0.427319303392583;4.768661943642218;2.171942549794088;4.237756461327432;8.131384824107617;88.87331920021826;3.3816138270618605;0.10482526580584033;1.6619901959304844;0.3574600510909458;2.1204514929573284
Keyence;gesamt;WSP00_L44_S2.sdf;1.5369649939382966;2.1589571409433703;6.109132901718459;11.887760420626288;17.996893322344746;-1.2668158434679246;7.025023620876607;2.344390762830195;0.209749532966158;154.6099541882804;0.2481840251270646;4.190573559787071;1.7890445594176911;4.0966082218826045;9.801032688152349;86.42584856874001;3.3356706096532074;0.0898071092271987;1.5433946215772592;0.38124577878738675;2.0007338090055815
Nanofocus;gesamt;WSP00_L1_S1.nms;0.37856213660866944;0.4698634524847286;1.402535524496774;1.2774093115947507;2.679944836091525;0.07746150973956888;2.777904890949756;3.3197565834448994;0.26109635957680366;50.3090532556619;0.24590696567733156;1.267426193744439;0.44055908318144266;0.3878893644460545;9.358484046681557;91.32327964726423;0.9424068624346461;0.02229902045908277;0.4320702748040383;0.049228432722471016;0.5834412073453791
Nanofocus;gesamt;WSP00_L1_S2.nms;0.5085626905608663;0.6468930776728175;2.369251659916791;1.8468011540170421;4.216052813933834;0.3240102504941957;3.305757529789042;17.802466498349624;0.657251814217982;58.063332438934346;0.25252334923249364;1.6099840448005573;0.790845591789272;0.5526469184771464;11.632561607976081;91.60263157685186;1.4393499012879212;0.038767332281448755;0.5588207706821874;0.06484623095065356;0.8119445140449613
