messsystem;filtercase;datei;Sa;Sq;Sp;Sv;Sz;Ssk;Sku;Sdr;Sdq;Sal;Str;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vmp;Vmc;Vvv;Vvc;
Nanofocus;vergleich;WSP03_L13_S1.nms;0.414313623536811;0.5314112059567969;2.408480288368013;2.6533343882321834;5.061814676600196;-0.5172800936272273;3.5656779116445514;10.798151096819343;0.499365940565375;8.880425369322406;0.06098720997561036;1.222966749001898;0.44036298551745595;0.7261006895947263;7.924858038174965;85.47630430382223;0.8678232038745677;0.022499836491054713;0.4701395386227788;0.0770320123159082;0.5540173715216125;
Nanofocus;vergleich;WSP03_L13_S2.nms;0.5699655294236962;0.731371270939958;3.3356986060791884;4.018388121009814;7.354086727089002;-0.6589957441233494;3.7704554262908134;17.022585620084385;0.6433352111815758;11.245392022846135;0.07499076378186012;1.7093670286893374;0.5117417775674562;1.0407623128218695;7.147608974104584;85.80419117971731;1.1271358439020633;0.026778568541229574;0.6453790665357372;0.10930776359110832;0.7543242290405767;
Nanofocus;vergleich;WSP03_L14_S1.nms;0.5037001914573461;0.6700572628564718;3.447984509393031;3.736321176638814;7.184305686031845;-0.4985295165272518;4.340813170431165;12.718031857585043;0.550171552518576;16.425613775718148;0.11506750028417106;1.4418361646728752;0.6709181726919008;0.9682535957576895;10.081799440328947;86.12389171163984;1.2044272308049668;0.03353224005118416;0.5462649489745808;0.0999779997326973;0.7025829511306031;
Nanofocus;vergleich;WSP03_L14_S2.nms;0.7398830741208743;0.9674738301898337;4.268912386169321;5.389549830279456;9.658462216448777;-0.46290709898372306;3.9745022954941724;22.60880013147679;0.7574460238235655;16.032292868003246;0.10649355576335515;2.165438519372489;0.9283628049859712;1.3522839415116703;8.860822999899797;86.05456287365689;1.67449383055098;0.04667020490439103;0.8192925781408653;0.14125684885340234;1.0074124108342664;
Nanofocus;vergleich;WSP03_L1_S1.nms;0.28329208992118227;0.36739588469823414;1.6351780851478432;2.1356107121933348;3.770788797341178;-0.5830620488990494;4.092208679773304;5.698307864264263;0.3537555787592056;4.604604723206212;0.0470169025683776;0.8768769537397492;0.3003491811397437;0.5315062562445959;7.629783027149034;87.94758915573821;0.6045428674073462;0.015252083866386386;0.3124407286843276;0.053268034689316617;0.38564536008395756;
Nanofocus;vergleich;WSP03_L1_S2.nms;0.5336454671263162;0.6982241246972605;3.082124293212817;3.7657277995228995;6.8478520927357165;-0.477357351478765;3.884101343828252;11.785345446549567;0.5255063421896966;15.168827754655458;0.04547054282617476;1.5809831306096762;0.6204321901484201;0.9942891784789103;9.733263145210922;86.9046532658551;1.2195617564905943;0.03120552934472304;0.5846676405780633;0.10273799427510816;0.7549777230905319;
Nanofocus;vergleich;WSP03_L40_S1.nms;0.4843449033305131;0.6190065392937285;2.740248943741591;2.901632961284389;5.64188190502598;-0.31700514381756234;3.4529722415681317;14.301801012473048;0.5823387741755488;8.728240660372325;0.058387254666379514;1.5149662817290754;0.5608003547306296;0.768884369640264;8.501524112298743;88.11657829014055;1.1103010052457074;0.028569591577837995;0.5426786828355041;0.08253532587177688;0.6851640932376376;
Nanofocus;vergleich;WSP03_L40_S2.nms;0.7818446612149453;1.0140769020297975;4.398970598889147;5.347683465757968;9.746654064647116;-0.46330381886339167;3.888041365409831;20.84126616881139;0.7265217889307154;18.26885729781243;0.2401250089161284;2.3634605023604744;0.9216212507051298;1.390075255593216;8.260013391184009;86.97624533093462;1.725400644760589;0.04647782973452907;0.8676383275987318;0.1452157453844175;1.0673650291063148;
Nanofocus;vergleich;WSP00_L13_S1.nms;0.27285872911797826;0.3482535256012969;2.0431671327866265;1.8013659884752804;3.844533121261907;0.06574522885105334;3.4029213842042805;6.519503607484256;0.37914925645279907;3.9144836901063766;0.05342364351669586;0.8618468177544433;0.36992354937611616;0.3460209765286232;10.194754492609889;89.38105092599086;0.6906314664589498;0.01846917515684358;0.3061824083989024;0.04026142819491434;0.4132450686072752;
Nanofocus;vergleich;WSP00_L13_S2.nms;0.24851815933949187;0.32283060315645706;1.88872552445093;1.7282103309753005;3.6169358554262305;0.13525417569723505;3.891761094305454;7.385199818817534;0.41327239576986935;3.0371836032176707;0.038516382914174745;0.7611473103577071;0.39196720351222053;0.38222255252360315;11.905449827426317;91.29970588371731;0.698413253990931;0.019308313441251695;0.26309602966188583;0.03670361069868417;0.3869759093338229;
