messsystem;filtercase;datei;Sa;Sq;Sp;Sv;Sz;Ssk;Sku;Sdr;Sdq;Sal;Str;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vmp;Vmc;Vvv;Vvc
Keyence;prozessfrei;WSP00_L13_S1.sdf;0.5751761841259914;0.7265602491281216;3.958048094275483;5.373941795175385;9.331989889450869;-0.0707502812878955;3.2139649729420827;1.0415129488033248;0.12799926330562625;10.994941588092129;0.550847639111106;1.8622926865396467;0.6853365254452315;0.7434954396890942;9.431839419180623;89.86793415873156;1.3985653022699316;0.034672334479357456;0.6484833263078464;0.08513921361580451;0.8645122845335744
Keyence;prozessfrei;WSP00_L13_S2.sdf;0.5788556525288268;0.73624832904913;4.620744725412719;4.5268930091266215;9.147637734539341;-0.0439654950627633;3.4819755979147544;1.0801886112752124;0.13107680657730264;10.9838243569616;0.5766172893222318;1.8610868970920298;0.7338203183847013;0.7702932798940237;9.627495782155556;90.00035702249282;1.429722551820325;0.03684673543968133;0.6475741152483673;0.08625465954596606;0.8693786321246484
Keyence;prozessfrei;WSP00_L14_S1.sdf;0.7104669736643082;1.0229722402131982;14.437179153542301;13.30120180332531;27.73838095686761;-0.022096313032232688;12.789412899492904;1.5125271260681528;0.1661210792675895;13.281385457270707;0.6682458349261512;2.0668193984855643;1.371786550407591;1.4183694328856493;10.150815701881434;89.21013341231931;1.8068703254833343;0.06878916338197344;0.7279604067626657;0.1298246307836077;0.989878112808503
Keyence;prozessfrei;WSP00_L14_S2.sdf;0.5855795502810063;0.7494882088213258;5.111472688717386;4.976335403676331;10.087808092393718;-0.04374068645169958;3.695761504204252;0.9941747915591215;0.12420206315824148;12.504875327169332;0.6228208267807809;1.8701937666439037;0.7639470703590868;0.8187920793493619;9.696430246231198;89.95958217755445;1.454620033617723;0.03832623026916765;0.6501956367470196;0.08908443283626483;0.8774011072807821
Keyence;prozessfrei;WSP00_L1_1.sdf;0.5740308535938009;0.7268150347906611;3.90355193979637;4.271652008428876;8.175203948225246;-0.13784085847844313;3.260168759188332;1.0626191451469813;0.1296405583523301;10.883769276786849;0.572701228298909;1.853695865006703;0.6636696651163665;0.7850551294764052;9.219718212550532;89.633274379819;1.3759093911007736;0.033651024515507874;0.6456862093256254;0.0879981526033944;0.8555264526006133
Keyence;prozessfrei;WSP00_L1_S1.sdf;0.5740308535938009;0.7268150347906611;3.90355193979637;4.271652008428876;8.175203948225246;-0.13784085847844313;3.260168759188332;1.0626191451469813;0.1296405583523301;10.883769276786849;0.572701228298909;1.853695865006703;0.6636696651163665;0.7850551294764052;9.219718212550532;89.633274379819;1.3759093911007736;0.033651024515507874;0.6456862093256254;0.0879981526033944;0.8555264526006133
Keyence;prozessfrei;WSP00_L1_S2.sdf;0.5707088923649466;0.743425121679492;7.816253483392622;9.03132795038691;16.84758143377953;-0.2995348614712675;5.854647376153106;1.087173408575537;0.13218337703132738;10.861534814525793;0.5465986848437652;1.8081983131187207;0.7124776896845851;0.8863285559805691;9.306657909233161;89.52456211143337;1.3559558376523286;0.035741596916102514;0.6309145334932342;0.09247678263734645;0.8386998780068248
Keyence;prozessfrei;WSP00_L44_S1.sdf;0.7875965518775813;1.133354112063603;9.505003718235537;11.31718945823943;20.82219317647497;-0.35255631051849307;9.051908212352615;1.7684296524680843;0.17915822321875782;13.488907105040562;0.6748614310230456;2.208730240828485;1.543810702980418;1.7476237332467168;10.700149497460027;88.69781031157193;2.167225381422837;0.07851825921662633;0.789637039001275;0.15529229384551557;1.0870669616664097
Keyence;prozessfrei;WSP00_L44_S2.sdf;0.846658500207246;1.1698219771504301;11.270893854680253;9.67259109112733;20.943484945807583;-0.3791454577496519;6.829635812085842;2.0956082206840643;0.19647355589057217;13.874304450898864;0.7413341921977535;2.4492420068359824;1.436374155761487;1.7128381167377085;10.813800732732965;88.69913805262459;2.253873408375672;0.07223692062837954;0.8730256354972474;0.16066765214013423;1.2093851909061224
Keyence;prozessfrei;WSP03_L13_S1.sdf;0.619692906577828;0.7847807532851774;5.063292614497173;6.058546505393215;11.121839119890389;0.045142323833254755;3.3409750728645378;1.1120268715701043;0.13845349432524093;10.138880456289934;0.4904536292179577;2.0065738233674377;0.8024700149670403;0.7625725437308281;9.841844327551584;90.43673261688566;1.5630281748580168;0.04025943913485728;0.6946545776392405;0.08803136945136675;0.9439263288225497
Keyence;prozessfrei;WSP03_L13_S2.sdf;0.5585257260673876;0.7158093546568609;6.500161794807262;6.638097972036415;13.138259766843678;-0.041205498245443305;4.605551237082069;0.8815852529872048;0.12183318149704137;12.528932046106773;0.6184876943813071;1.7928634249196198;0.7274010535526257;0.7481145260652327;9.631830422080094;90.03509216251793;1.3806895284074192;0.03644587834352933;0.6231450168721664;0.08322232503912039;0.8382235865235085
Keyence;prozessfrei;WSP03_L14_S1.sdf;0.5952635655090057;0.7491437243558334;4.287544131943228;5.622465597035509;9.910009728978737;-0.0005240267020426228;3.1429398740415584;1.1845198890747533;0.14366723626946495;8.89375478621924;0.2066003588960448;1.9449338331797295;0.7206890426315474;0.7152769325151921;9.61121759217659;90.44254282414829;1.4740187540857903;0.036281203963077005;0.672779610134055;0.08401510203193192;0.907173153360753
Keyence;prozessfrei;WSP03_L14_S2.sdf;0.5307288056284055;0.6670938262952597;4.001136912181286;5.053070041604906;9.054206953786192;-0.02907582465594722;3.1103126983598997;0.8745635114965511;0.11999763499475141;9.883185006186132;0.13635199085108946;1.7366247890285873;0.6230169035382164;0.645614635243412;9.383074742928157;90.25108033613775;1.2950471664981398;0.03150612645298046;0.6012557030330076;0.07582998684196617;0.804228997377198
Keyence;prozessfrei;WSP03_L1_S1.sdf;0.6570593344259353;0.8295589858475714;4.309271625753203;4.34214322855633;8.651414854309532;0.021440609435618187;3.1752235249395153;1.190450300483814;0.14454109817696442;10.038825714944968;0.42387127644381295;2.1328693632418525;0.8276602720380839;0.8035575468681061;9.72089059699622;90.31431850878386;1.6468086593664808;0.04158983740079908;0.7399617687956892;0.09359298657439101;0.9992321130659914
Keyence;prozessfrei;WSP03_L1_S2.sdf;0.5911007026400859;0.7495176826092406;5.757074601122084;6.253749635603816;12.010824236725899;-0.037814392816950745;3.4220757958211694;1.0395023831886618;0.1334883053401547;10.172232036738256;0.5234641819312165;1.9119582723283708;0.7330742722667909;0.7641705422109524;9.547347925579183;90.09824995231293;1.4541820718124279;0.03686611766981222;0.6637471368917116;0.08690608133745549;0.8908138875163681
Keyence;prozessfrei;WSP03_L40_S1.sdf;0.566505645291666;0.715632101336477;4.629315673146838;4.513854890555277;9.143170563702114;-0.008302011464079238;3.2332286554202456;1.075710437423516;0.13623337353519013;8.97157514059866;0.22550931916072803;1.839476075462245;0.7009685806105743;0.7073583241708278;9.776659701376396;90.40477296944799;1.4124147395889095;0.03516741614261802;0.6367974886803531;0.08126167693152268;0.8629566392039519
Keyence;prozessfrei;WSP03_L40_S2.sdf;0.6266328709138651;0.8053922983493907;6.9690358200091955;5.491709523337365;12.46074534334656;0.10084503627303934;4.478028030442563;1.107684251526675;0.1400207709638786;10.861498032670248;0.5391669526611461;2.0040677040205668;0.849857509444389;0.8461473850624005;9.71339987643818;90.10434802860966;1.5610921995604063;0.042622995341349446;0.6955519442402032;0.0934460414903485;0.93842568968517
Nanofocus;prozessfrei;WSP00_L13_S1.nms;0.24017071533255194;0.30915927385354847;2.1451253499757263;2.0627372979248166;4.2078626479005425;0.06908430185008357;3.9282278599358498;6.518032236073279;0.3791019327234165;2.7787601795382098;0.043311934730960906;0.7488923437512529;0.3521461631128374;0.31974032842491873;9.203887961454676;88.45929058081309;0.590346805609884;0.017576458273767956;0.271900778097841;0.036036701275570154;0.34888525872120835
Nanofocus;prozessfrei;WSP00_L13_S2.nms;0.21859109556401318;0.2938622328438977;1.9217946808714688;1.8453498448284407;3.7671445256999094;0.14078197088518393;4.564160358852921;7.3840543219660715;0.4132334598165966;1.3672209146317489;0.018979543080319752;0.6135847213236628;0.38807750450993894;0.3883145212222966;14.177429381796113;89.93124048657123;0.6506572746117626;0.018706066174437794;0.22240575673476717;0.036277893827535566;0.3484297873884748
Nanofocus;prozessfrei;WSP00_L14_S1.nms;0.24961625314259997;0.3206979271003459;2.135635708571768;2.0991679741251428;4.234803682696911;0.032104179495554254;3.722615783392159;7.872481544077736;0.42337674126448155;2.834511439740138;0.04418243604703732;0.789872609218915;0.34969354625452603;0.35409402957842956;10.56728843285357;90.67815316996996;0.6511296684082853;0.017346741863212375;0.2718792548284748;0.0371946668088924;0.38167796774470714
Nanofocus;prozessfrei;WSP00_L14_S2.nms;0.19524671918187259;0.2514774836320125;1.9294513305747691;1.862502490975157;3.791953821549926;0.2714207215365878;3.8071937502806543;4.092294477700742;0.29353826837790553;1.7724474606168161;0.024438893819952037;0.6135534470428498;0.30917039806473934;0.23712312845321074;10.739901020897921;90.25908442467734;0.5326552261709896;0.015347632747270351;0.21550576870514127;0.02725472482760402;0.3010721741681871
